2.16.840.1.113883.6.1      ==> LOINC
2.16.840.1.113883.6.3      ==> CIM-10
1.2.250.1.213.1.1.4.322    ==> TA_ASIP
1.2.250.1.213.2.11         ==> ADICAP
2.16.840.1.113883.6.139    ==> cisp2
1.2.250.1.213.2.5          ==> CCAM
1.2.250.1.213.2.3.1        ==> CIS
1.2.250.1.213.2.3.2        ==> CIP
1.2.250.1.213.2.62         ==> UCD
1.2.250.1.213.2.59         ==> Medicabase
1.2.250.1.213.2.65         ==> CLADIMED


1.2.250.1.213.1.1.4.2.286  ==> TA_CDA
1.2.250.1.213.1.1.4.2.289  ==> TA_OBS
1.2.250.1.213.1.1.4.2.291  ==> TA_ASIP291
1.2.250.1.213.1.1.4.2      ==> TA_PRC
1.2.250.1.213.1.1.4.14     ==> TA_CS (obsolète)
1.2.250.1.213.1.1.4.2.281  ==> TA_RCP (obsolète)
1.2.250.1.213.1.1.4.3      ==> TA_TRT (obsolète)
1.2.250.1.213.1.1.4.321    ==> TA_AVC (obsolète)
1.2.250.1.213.1.1.4.324    ==> TA_SDMMR (obsolète)
1.2.250.1.213.2.68         ==> EMDN


